audio_clipping,audio_clipping:confidence,background_noise_audible,background_noise_audible:confidence,overall_quality_of_the_audio,quiet_speaker,quiet_speaker:confidence,speaker_id,file_download,file_name,phrase,prompt,writer_id
no_clipping,1,no_noise,1,4.33,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_66133523.wav&key=test_key_TISTK,1249120_43719934_66133523.wav,i feel dizzy after severe diarrhea,Feeling dizzy,44164300
no_clipping,0.6986,light_noise,1,3,audible_speaker,1,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_84254781.wav&key=test_key_TISTK,1249120_39675900_84254781.wav,I feel a pain in my back,Back pain,44045955
no_clipping,1,no_noise,0.6892,3,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_29460358.wav&key=test_key_TISTK,1249120_43719934_29460358.wav,"Laceration, rupture or opening in the skin",Open wound,44218005
no_clipping,0.6438,light_noise,0.6438,3.33,audible_speaker,1,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_33417205.wav&key=test_key_TISTK,1249120_39675900_33417205.wav,My back hurts me and i can't bend it or walk,Back pain,44150058
no_clipping,1,light_noise,0.6443,3.67,audible_speaker,1,38548574,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38548574_48897763.wav&key=test_key_TISTK,1249120_38548574_48897763.wav,My head hurts whenever I try to do something.,Head ache,44292353
no_clipping,1,light_noise,0.6456,4,audible_speaker,1,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_19144041.wav&key=test_key_TISTK,1249120_44027675_19144041.wav,I have dark spots on my skin,Skin issue,44150058
no_clipping,1,no_noise,0.6944,3.33,audible_speaker,1,40401830,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40401830_78987039.wav&key=test_key_TISTK,1249120_40401830_78987039.wav,I feel a sharp pain in my stomach,Internal pain,42082009
no_clipping,1,light_noise,0.6467,3,audible_speaker,0.68,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_55647543.wav&key=test_key_TISTK,1249120_39675900_55647543.wav,I can't do anything I feel a weak in my body,Body feels weak,44045955
no_clipping,1,light_noise,0.6475,3.33,audible_speaker,1,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_70883977.wav&key=test_key_TISTK,1249120_40663048_70883977.wav,I have cloudy eyes,Blurry vision,44340112
no_clipping,1,light_noise,0.6486,3.67,audible_speaker,1,29672643,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_29672643_75261138.wav&key=test_key_TISTK,1249120_29672643_75261138.wav,I have a back pain since I turned 70 years old.,Back pain,40632132
no_clipping,1,light_noise,0.6496,4,audible_speaker,1,33251186,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_33251186_66147241.wav&key=test_key_TISTK,1249120_33251186_66147241.wav,I tried to put my glasses to see more clear but cant find any change,Blurry vision,43318517
no_clipping,1,light_noise,0.6498,3.67,audible_speaker,1,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_99323119.wav&key=test_key_TISTK,1249120_44027675_99323119.wav,I feel deep Tingling when I touch Acne followed by bad sensation,Acne,43868212
no_clipping,1,light_noise,0.65,3.33,audible_speaker,0.6786,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_93760266.wav&key=test_key_TISTK,1249120_43105396_93760266.wav,My acne gets worse when it is hot,Acne,21665495
no_clipping,0.6503,light_noise,0.6503,3.33,audible_speaker,0.6503,38548574,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38548574_37713058.wav&key=test_key_TISTK,1249120_38548574_37713058.wav,Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath,44130352
no_clipping,1,light_noise,0.6503,3.67,audible_speaker,0.6503,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_31701494.wav&key=test_key_TISTK,1249120_43105396_31701494.wav,my abdominal muscles have great pain since i was at GYM,Muscle pain,43793610
no_clipping,1,light_noise,0.6599,3.33,audible_speaker,1,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_18466333.wav&key=test_key_TISTK,1249120_43105396_18466333.wav,My back got injured while i was lifting at the gym,Injury from sports,44150058
no_clipping,1,no_noise,1,4,audible_speaker,1,42554554,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_42554554_91878727.wav&key=test_key_TISTK,1249120_42554554_91878727.wav,my ankle is hurting me,Joint pain,43838565
no_clipping,1,light_noise,0.6525,3.67,audible_speaker,1,44023395,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44023395_102591472.wav&key=test_key_TISTK,1249120_44023395_102591472.wav,I think my wound is infected,Infected wound,21665495
no_clipping,1,light_noise,0.6533,3,audible_speaker,1,41336418,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_41336418_98516775.wav&key=test_key_TISTK,1249120_41336418_98516775.wav,i feel pain in my knee,Knee pain,43751808
no_clipping,1,no_noise,0.6533,3.67,audible_speaker,1,44142156,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44142156_33811848.wav&key=test_key_TISTK,1249120_44142156_33811848.wav,My skin is very dry and peeling.,Skin issue,1883056
no_clipping,1,light_noise,1,3,audible_speaker,1,44023395,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44023395_32770026.wav&key=test_key_TISTK,1249120_44023395_32770026.wav,i can't move my shoulder because of pain,Shoulder pain,44124309
no_clipping,1,no_noise,0.3451,3.67,audible_speaker,0.6901,43898158,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43898158_20629391.wav&key=test_key_TISTK,1249120_43898158_20629391.wav,when i wake up in the morning i feel dizzy,Feeling dizzy,43838565
no_clipping,1,light_noise,0.6552,3.67,audible_speaker,1,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_89529293.wav&key=test_key_TISTK,1249120_44323331_89529293.wav,My hair is falling out in huge amount,Hair falling out,44118742
no_clipping,1,no_noise,0.6552,3.67,audible_speaker,1,43918153,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43918153_65721432.wav&key=test_key_TISTK,1249120_43918153_65721432.wav,I have a sharp pain in my neck,Neck pain,44118742
no_clipping,0.6555,light_noise,1,3.33,audible_speaker,1,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_92774185.wav&key=test_key_TISTK,1249120_39675900_92774185.wav,There is pain in the muscles I do not know caused,Muscle pain,43730599
no_clipping,1,light_noise,0.6556,3.67,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_72342755.wav&key=test_key_TISTK,1249120_43719934_72342755.wav,I have a problem in the expiration because i have abronchial asthma,Hard to breath,44066678
no_clipping,1,light_noise,0.6557,3.33,audible_speaker,1,29713479,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_29713479_30880664.wav&key=test_key_TISTK,1249120_29713479_30880664.wav,"Every time I make an effort, I felt dizzy.",Feeling dizzy,43772689
no_clipping,1,no_noise,0.6563,3.33,audible_speaker,1,27392644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_27392644_30360688.wav&key=test_key_TISTK,1249120_27392644_30360688.wav,I have a powerful pain inside my neck,Neck pain,13121046
no_clipping,1,no_noise,1,3,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_73877271.wav&key=test_key_TISTK,1249120_43719934_73877271.wav,I have a pain internal,Internal pain,44045955
no_clipping,1,no_noise,1,3.67,audible_speaker,1,36929821,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_36929821_22772305.wav&key=test_key_TISTK,1249120_36929821_22772305.wav,chronic disease of hair follicles and sebaceous glands.,Acne,44096379
no_clipping,0.6575,light_noise,0.6575,3.33,audible_speaker,0.6575,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_55649652.wav&key=test_key_TISTK,1249120_31349958_55649652.wav,I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain,40632132
no_clipping,1,light_noise,0.6575,3.67,audible_speaker,1,43995026,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43995026_50188564.wav&key=test_key_TISTK,1249120_43995026_50188564.wav,When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,43767396
no_clipping,1,no_noise,1,3.67,audible_speaker,1,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_65421911.wav&key=test_key_TISTK,1249120_40663048_65421911.wav,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts,19638651
no_clipping,1,light_noise,1,3.67,audible_speaker,1,39438102,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39438102_72804973.wav&key=test_key_TISTK,1249120_39438102_72804973.wav,I have a feeling like my whole body is complaining,Joint pain,44118742
no_clipping,1,light_noise,0.659,3.67,audible_speaker,1,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_64467464.wav&key=test_key_TISTK,1249120_39675900_64467464.wav,My knee hurts when I play squash,Knee pain,21665495
no_clipping,1,no_noise,1,3.33,audible_speaker,1,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_90892859.wav&key=test_key_TISTK,1249120_40663048_90892859.wav,i can't see well,Blurry vision,44124309
no_clipping,1,light_noise,0.6597,3.67,audible_speaker,1,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_45296716.wav&key=test_key_TISTK,1249120_31349958_45296716.wav,I tried alot of cream but i still feel the same skin problem,Skin issue,44118742
no_clipping,1,no_noise,1,3.33,audible_speaker,1,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_96568782.wav&key=test_key_TISTK,1249120_40663048_96568782.wav,It feels like someone stuck a knife into my shoulder,Shoulder pain,44164300
no_clipping,1,light_noise,1,3,audible_speaker,1,35408915,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_35408915_40576364.wav&key=test_key_TISTK,1249120_35408915_40576364.wav,I feel a burning sensation in my shoulder muscle.,Muscle pain,38202325
no_clipping,1,light_noise,0.6621,3.67,audible_speaker,0.6828,29713479,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_29713479_101179933.wav&key=test_key_TISTK,1249120_29713479_101179933.wav,I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound,43755034
no_clipping,1,light_noise,0.6621,3.67,audible_speaker,1,41087148,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_41087148_65738322.wav&key=test_key_TISTK,1249120_41087148_65738322.wav,My knee catches and hurts when I first stand up after sitting.,Knee pain,43755034
no_clipping,1,no_noise,1,4,audible_speaker,1,20518958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_20518958_23074828.wav&key=test_key_TISTK,1249120_20518958_23074828.wav,I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound,19638651
light_clipping,0.3378,light_noise,0.6622,3,audible_speaker,0.6622,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_82352673.wav&key=test_key_TISTK,1249120_39675900_82352673.wav,I feel pain in my shoulders when I write on the keyboard.,Shoulder pain,40632132
light_clipping,0.6757,no_noise,0.6757,3.33,audible_speaker,1,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_100349992.wav&key=test_key_TISTK,1249120_44027675_100349992.wav,i have a problem in seeing objects it is too difficult to see,Blurry vision,44066678
no_clipping,0.6622,light_noise,0.6622,3,audible_speaker,1,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_25285161.wav&key=test_key_TISTK,1249120_31349958_25285161.wav,glass broken and wound my leg badly the wound is so wide,Open wound,44088126
no_clipping,0.6486,light_noise,0.6622,3.33,audible_speaker,1,35350617,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_35350617_65750534.wav&key=test_key_TISTK,1249120_35350617_65750534.wav,"I have a blurry vision during my swimming training in the pool, why?",Blurry vision,40632132
no_clipping,1,no_noise,1,3.67,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_36107167.wav&key=test_key_TISTK,1249120_43719934_36107167.wav,I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,19638651
no_clipping,0.6824,no_noise,0.6622,4,audible_speaker,1,1853182,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_1853182_38598866.wav&key=test_key_TISTK,1249120_1853182_38598866.wav,I feel pain in my knee when I climb the stairs.,Joint pain,43949040
no_clipping,0.6623,light_noise,1,3.33,audible_speaker,0.6689,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_20831554.wav&key=test_key_TISTK,1249120_39675900_20831554.wav,"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,44130352
light_clipping,0.6624,no_noise,0.6561,3,audible_speaker,1,38548574,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38548574_80257337.wav&key=test_key_TISTK,1249120_38548574_80257337.wav,My knee hurts when I walk,Knee pain,42082009
light_clipping,0.6815,light_noise,1,3,audible_speaker,1,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_101101241.wav&key=test_key_TISTK,1249120_31349958_101101241.wav,i can't rotate my neck,Neck pain,44124309
no_clipping,0.6627,light_noise,0.6627,4,audible_speaker,1,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_27634315.wav&key=test_key_TISTK,1249120_44027675_27634315.wav,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,43755034
no_clipping,1,light_noise,1,3.33,audible_speaker,1,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_89138183.wav&key=test_key_TISTK,1249120_44027675_89138183.wav,i have a problem in my back i cannot extend it,Back pain,44066678
no_clipping,0.6631,no_noise,1,3,audible_speaker,1,30766630,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_30766630_56064697.wav&key=test_key_TISTK,1249120_30766630_56064697.wav,I can't walk because i have a great foot ache,Foot ache,44150058
no_clipping,1,no_noise,0.6717,4,audible_speaker,1,27392644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_27392644_90841863.wav&key=test_key_TISTK,1249120_27392644_90841863.wav,My heart is beating fast and it scares me.,Heart hurts,1883056
no_clipping,1,light_noise,0.6635,3,quiet_speaker,0.6635,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_90991239.wav&key=test_key_TISTK,1249120_43105396_90991239.wav,I used to have acne when I was 15 years old,Acne,43949040
no_clipping,1,no_noise,0.6653,3.33,audible_speaker,1,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_57267134.wav&key=test_key_TISTK,1249120_43105396_57267134.wav,My muscles in my lower back are aching.,Muscle pain,44140394
no_clipping,1,no_noise,1,3.67,audible_speaker,1,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_75362840.wav&key=test_key_TISTK,1249120_40663048_75362840.wav,My shoulder muscle hurts when I try to reach up.,Muscle pain,38202325
no_clipping,1,light_noise,1,3.33,audible_speaker,1,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_44857929.wav&key=test_key_TISTK,1249120_39675900_44857929.wav,I feel heart pain when I walk a lot,Heart hurts,21665495
no_clipping,0.7017,light_noise,1,3,audible_speaker,1,44023395,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44023395_39563768.wav&key=test_key_TISTK,1249120_44023395_39563768.wav,My hair is falling out in huge amount,Hair falling out,44118742
no_clipping,1,no_noise,0.6711,3.33,audible_speaker,1,6338946,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_6338946_35137575.wav&key=test_key_TISTK,1249120_6338946_35137575.wav,I feel a pain in my back,Back pain,44045955
no_clipping,1,no_noise,1,3.33,quiet_speaker,0.6648,27392644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_27392644_71854860.wav&key=test_key_TISTK,1249120_27392644_71854860.wav,My skin is itchy and inflamed,Skin issue,14026697
no_clipping,0.6813,light_noise,0.6651,3.67,audible_speaker,1,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_40885347.wav&key=test_key_TISTK,1249120_43105396_40885347.wav,i can't see well,Blurry vision,44124309
no_clipping,1,light_noise,0.6659,3.33,audible_speaker,1,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_99274194.wav&key=test_key_TISTK,1249120_31349958_99274194.wav,I have a cold and it makes me cough alot,Cough,44118742
no_clipping,1,light_noise,0.6663,3.67,audible_speaker,1,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_75030259.wav&key=test_key_TISTK,1249120_31349958_75030259.wav,I have a dry throat,Cough,43913997
no_clipping,1,no_noise,0.353,3.67,audible_speaker,0.647,29672643,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_29672643_84613593.wav&key=test_key_TISTK,1249120_29672643_84613593.wav,I'm not hearing well I have problem with my ear,Ear ache,44045955
light_clipping,0.6667,light_noise,0.6667,3,audible_speaker,0.6667,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_64809479.wav&key=test_key_TISTK,1249120_44263136_64809479.wav,My foot is hurting so much.,Foot ache,34987462
light_clipping,0.6599,no_noise,0.6667,3.33,audible_speaker,0.6599,38548574,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38548574_83463570.wav&key=test_key_TISTK,1249120_38548574_83463570.wav,My shower drain is full of hair every time.,Hair falling out,40925305
no_clipping,1,light_noise,0.6667,3,audible_speaker,0.6875,27392644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_27392644_86164706.wav&key=test_key_TISTK,1249120_27392644_86164706.wav,I have front head pain and when I get it the light bothers me.,Head ache,1883056
no_clipping,1,no_noise,1,3.33,audible_speaker,0.6735,27392644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_27392644_78038831.wav&key=test_key_TISTK,1249120_27392644_78038831.wav,Even though I'm an adult my face keeps breaking out in pimples.,Acne,19638651
no_clipping,1,light_noise,1,3.33,audible_speaker,1,44197979,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44197979_109954671.wav&key=test_key_TISTK,1249120_44197979_109954671.wav,When I get out of bed in the morning my body feels very weak.,Body feels weak,1883056
no_clipping,1,no_noise,0.6684,3.67,audible_speaker,0.6684,43855932,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43855932_105242356.wav&key=test_key_TISTK,1249120_43855932_105242356.wav,My knee catches and hurts when I first stand up after sitting.,Knee pain,43755034
no_clipping,1,light_noise,0.693,3.33,audible_speaker,1,43665783,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43665783_84776699.wav&key=test_key_TISTK,1249120_43665783_84776699.wav,"surgical wounds red, firing pus, painful and hot to the touch",Infected wound,44096379
no_clipping,1,no_noise,1,3.67,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_22444850.wav&key=test_key_TISTK,1249120_43719934_22444850.wav,Feel like something is being jabbed into my joints,Joint pain,44164300
no_clipping,1,no_noise,0.6649,3.67,audible_speaker,1,43898272,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43898272_12278400.wav&key=test_key_TISTK,1249120_43898272_12278400.wav,The arches of my feet hurt when I wear heels,Foot ache,42082009
no_clipping,1,light_noise,1,3,audible_speaker,1,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_83019694.wav&key=test_key_TISTK,1249120_44259428_83019694.wav,I feel pain in the lower back,Back pain,44340112
no_clipping,1,no_noise,0.6699,3.67,audible_speaker,1,43918153,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43918153_109595997.wav&key=test_key_TISTK,1249120_43918153_109595997.wav,I have a dull ache in my head,Head ache,42082009
no_clipping,0.6701,light_noise,0.6701,3,audible_speaker,0.6701,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_33464746.wav&key=test_key_TISTK,1249120_44027675_33464746.wav,The arches of my feet hurt when I wear heels,Foot ache,42082009
no_clipping,0.6596,light_noise,1,3.33,audible_speaker,1,38548574,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38548574_57378591.wav&key=test_key_TISTK,1249120_38548574_57378591.wav,I feel a pain in my neck,Neck pain,44045955
no_clipping,1,light_noise,0.668,3,audible_speaker,0.6612,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_36803194.wav&key=test_key_TISTK,1249120_31349958_36803194.wav,I have a sharp pain in my neck,Neck pain,44118742
no_clipping,1,light_noise,0.6711,3,audible_speaker,1,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_97406490.wav&key=test_key_TISTK,1249120_43105396_97406490.wav,i have pain but i can't specify place,Internal pain,44124309
no_clipping,1,no_noise,1,3.33,audible_speaker,1,38202325,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38202325_72751015.wav&key=test_key_TISTK,1249120_38202325_72751015.wav,I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache,19638651
